Date,Revenue,Expenses,Profit,CashFlow
2022-01-31,12000,8054.677755019955,3945.322244980045,3593.8909985092096
2022-02-28,12500,9858.726738155687,2641.2732618443133,2922.697072158927
2022-03-31,13000,8080.546714437244,4919.453285562756,4446.982874836314
2022-04-30,12800,9309.027282374904,3490.9727176250963,3012.6671298632855
2022-05-31,13500,8734.736720984192,4765.263279015808,4880.257079927441
2022-06-30,14500,9393.24542192408,5106.754578075919,5467.266274128758
2022-07-31,15000,9205.362168512995,5794.637831487005,5908.0441826373
2022-08-31,15500,9928.569361125461,5571.430638874539,5082.055782766143
2022-09-30,15800,11480.616498795436,4319.383501204564,4523.397855011672
2022-10-31,16500,10768.99646566169,5731.00353433831,5398.105086730462
2022-11-30,17000,12396.718464358288,4603.281535641712,4310.403121732754
2022-12-31,18000,10879.19244182169,7120.8075581783105,6957.687932773014
2023-01-31,18500,12157.881545485967,6342.118454514033,6744.234764799503
2023-02-28,19000,15038.697428258269,3961.3025717417313,3833.0722414992883
2023-03-31,19500,11957.092175845499,7542.907824154501,7534.885221116777
2023-04-30,20000,15752.904853538139,4247.095146461861,4099.07337244036
2023-05-31,40000,33714.96270852718,6285.037291472821,6128.205038025579
2023-06-30,20500,13543.740566556482,6956.259433443518,7041.115135755526
2023-07-31,21000,16049.605762062278,4950.394237937722,5012.102779805432
2023-08-31,21500,18012.72919361471,3487.2708063852915,3584.7191073087115
2023-09-30,22000,16416.56734971358,5583.4326502864205,5312.312565457611
2023-10-31,22500,15125.275652867129,7374.724347132871,7546.116919183239
2023-11-30,23000,16349.941619334477,6650.058380665523,7126.238408537657
2023-12-31,24000,15087.301238031028,8912.698761968972,8558.552175619467
